Ticker	Company	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000
A	Agilent Technologies Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
AA	Alcoa Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
AAPL	Apple Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
ABBV	AbbVie Inc.	X	X	X													
ABC	AmerisourceBergen Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X		
ABI	Applied Biosystems Inc.								X	X	X	X	X	X	X	X	X
ABK	Ambac Financial Group Inc.								X	X	X	X	X	X	X	X	
ABS	Albertson's Inc.										X	X	X	X	X	X	X
ABT	Abbott Laboratories	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
ABX	Barrick Gold Corp.														X	X	X
ACAS	American Capital Ltd.							X	X								
ACE	ACE Limited	X	X	X	X	X			X	X	X	X	X	X			
ACK	Armstrong Holdings Inc.																X
ACN	Accenture plc	X	X	X	X												
ACS	ACS Inc.						X	X	X	X	X	X					
ACT	Actavis plc	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
ACV	Alberto-Culver Co.										X	X	X	X	X	X	X
ADBE	Adobe Systems Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
ADCT	ADC Telecomm. Inc.									X	X	X	X	X	X	X	X
ADI	Analog Devices Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
ADM	Archer-Daniels-Midland Co.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
ADP	ADP, LLC.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
ADPT	Adaptec Inc.															X	X
ADS	Alliance Data Systems Corp.	X	X														
ADSK	Autodesk Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
ADT	ADT Corp.	X	X	X													
AEE	Ameren Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
AEP	American Electric Power	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
AES	AES Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
AET	Aetna Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
AFL	AFLAC Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
AFS	Associates First Capital																X
AGC	American General															X	X
AGN	Allergan Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
AIG	AIG, Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
AIV	Aimco	X	X	X	X	X	X	X	X	X	X	X	X				
AIZ	Assurant Inc.	X	X	X	X	X	X	X	X								
AKAM	Akamai Technologies Inc.	X	X	X	X	X	X	X	X								
AKS	AK Steel Holding Corp.					X	X	X									
