Added to the Index			Dropped from the Index													
Company	Ticker	Old Name & Ticker	Company	Ticker	Old Name & Ticker	Date	Year									
HCA Inc.	HCA		Safeway Inc.	SWY		January 27, 2015	2015									
Endo International	ENDP		Covidien	COV		January 27, 2015	2015									
Royal Caribbean Cruises	RCL		Bemis	BMS		December 5, 2014	2014									
Level 3 Comm's	LVLT		Jabil Circuit	JBL		November 5, 2014	2014									
United Rentals, Inc.	URI		Peabody Energy	BTU		September 20, 2014	2014									
Universal Health Services	UHS		Graham Holdings	GHC		September 20, 2014	2014									
Mallinckrodt plc	MNK		Rowan Companies plc	RDC		August 18, 2014	2014									
Discovery Com Class C	DISCK		-	-		August 6, 2014	2014									
Martin Marietta	MLM		U.S. Steel Corp.	X		July 2, 2014	2014									
Affiliated Managers Group	AMG		Forest Laboratories	FRX		July 1, 2014	2014									
Cimarex Energy	XEC		International Game Tech.	IGT		June 20, 2014	2014									
Avago Technologies	AVGO		LSI Corporation	LSI		May 8, 2014	2014									
Under Armour	UA		Beam Inc.	BEAM		May 1, 2014	2014									
Navient	NAVI		SLM Corp.	SLM		May 1, 2014	2014									
Google Inc. Class C	GOOG		-	-		April 3, 2014	2014									
Essex Property Trust Inc	ESS		Cliffs Natural Resources	CLF		April 2, 2014	2014									
Keurig Green Mountain	GMCR		WPX Energy Inc	WPX		March 21, 2014	2014									
Tractor Supply Co.	TSCO		Life Technologies	LIFE		January 24, 2014	2014									
Alliance Data Systems Corp.	ADS		Abercrombie & Fitch	ANF		December 21, 2013	2013									
Mohawk Industries	MHK		JDS Uniphase	JDSU		December 21, 2013	2013									
Facebook, Inc.	FB		Teradyne	TER		December 21, 2013	2013									
General Growth Properties	GGP		Molex Inc.	MOLX		December 10, 2013	2013									
Allegion	ALLE		J.C. Penney	JCP		December 2, 2013	2013									
Michael Kors Holdings	KORS		NYSE Euronext	NYX		November 13, 2013	2013									
Transocean	RIG		Dell, Inc.	DELL		October 21, 2013	2013									
Vertex Pharmaceuticals Inc.	VRTX		Advanced Micro Devices	AMD		September 20, 2013	2013									
Ametek	AME		SAIC	SAIC		September 20, 2013	2013									
Delta Air Lines	DAL		BMC Software	BMC		September 10, 2013	2013									
Nielsen Holdings	NLSN		Sprint Nextel Corp.	S		July 8, 2013	2013									
News Corporation	NWSA		Apollo Group Inc.	APOL		June 28, 2013	2013									
Zoetis, Inc.	ZTS		First Horizon	FHN		June 21, 2013	2013									
General Motors	GM		H. J. Heinz Company	HNZ		June 6, 2013	2013									
Kansas City Southern	KSU		Dean Foods	DF		May 23, 2013	2013									
Macerich	MAC		Coventry Health Care	CVH		May 8, 2013	2013									
Regeneron	REGN		MetroPCS	PCS		April 30, 2013	2013									
PVH Corp.	PVH		Big Lots Inc.	BIG		February 15, 2013	2013									
AbbVie Inc.	ABBV		Federated Investors	FII		December 31, 2012	2012									
Delphi Automotive	DLPH		Titanium Metals	TIE		December 21, 2012	2012									
Garmin Ltd.	GRMN		R.R. Donnelley	RRD		December 11, 2012	2012									
Dollar General	DG		Cooper Industries	CBE		December 3, 2012	2012									
PetSmart, Inc.	PETM		Sunoco Inc.	SUN		October 10, 2012	2012									
Kraft Foods Group	KRFT		Alpha Natural Resources	ANR		October 2, 2012	2012									
ADT Corp.	ADT		Lexmark Int'l Inc	LXK		October 1, 2012	2012									
Pentair Ltd.	PNR		DeVry, Inc.	DV		October 1, 2012	2012									
LyondellBasell	LYB		Sears Holding Corporation	SHLD		September 5, 2012	2012									
Ensco plc	ESV		Goodrich Corp.	GR		July 31, 2012	2012									
