Ticker	Name	CUSIP	ISIN	Currency	Sector	Industry	Last Updated	Prior Tickers	Ticker Change Date	Related Tickers	Exchange
A	AGILENT TECHNOLOGIES INC	00846U101	US00846U1016	USD	Healthcare	Medical Laboratories & Research	2015-06-06	None	None	None	NYSE
AA	ALCOA INC	013817101	US0138171014	USD	Basic Materials	Aluminum	2015-04-26	None	None	None	NYSE
AACC	ASSET ACCEPTANCE CAPITAL CORP	04543P100	US04543P1003	USD	Financial	Asset Management	2015-06-08	None	None	None	DELISTED
AAI	AIRTRAN HOLDINGS INC	00949P108	US00949P1084	USD	Services	Regional Airlines	2015-06-21	None	None	None	DELISTED
AAL	American Airlines Group Inc.	02376R102	US02376R1023	USD	Services	Regional Airlines	2015-04-26	None	None	None	NASDAQ
AAMC	Altisource Asset Management Corp	02153X108	US02153X1081	USD	Financial	Property Management	2015-05-09	None	None	None	OTCMKTS
AAN	AARON'S INC	002535300	US0025353006	USD	Services	Rental & Leasing Services	2015-05-11	None	None	None	NYSE
AAON	AAON INC	000036020	US0000360208	USD	Industrial Goods	General Building Materials	2015-05-11	None	None	None	NASDAQ
AAP	ADVANCE AUTO PARTS INC	00751Y106	US00751Y1064	USD	Services	Auto Parts Stores	2015-06-04	None	None	None	NYSE
AAPL	APPLE INC	037833100	US0378331005	USD	Technology	Electronic Equipment	2015-06-16	None	None	None	NASDAQ
AAT	American Assets Trust, Inc.	024013104	US0240131047	USD	Financial	REIT - Retail	2015-05-07	None	None	None	NYSE
AATI	ADVANCED ANALOGIC TECHNOLOGIES INC	00752J108	US00752J1088	USD	Technology	Communication Equipment	2015-06-22	None	None	None	DELISTED
AAVL	Avalanche Biotechnologies, Inc.	None	None	USD	Healthcare	Drugs - Generic	2015-06-02	None	None	None	NASDAQ
AAWW	ATLAS AIR WORLDWIDE HOLDINGS INC	049164205	US0491642056	USD	Services	Air Services, Other	2015-05-03	None	None	None	NASDAQ
ABAC	AOXIN TIANLI GROUP, INC.	G8883T104	USG8883T1046	USD	Consumer Goods	Food - Major Diversified	2015-05-14	None	None	None	NASDAQ
ABAX	ABAXIS INC	000256710	US0002567107	USD	Healthcare	Diagnostic Substances	2015-06-02	None	None	None	NASDAQ
ABBC	ABINGTON BANCORP, INC./PA	00350P100	US00350P1003	USD	Financial	Foreign Regional Banks	2015-06-25	None	None	None	DELISTED
ABBV	AbbVie Inc.	00287Y109	US00287Y1091	USD	Healthcare	Drug Manufacturers - Major	2015-05-11	None	None	None	NYSE
ABC	AMERISOURCEBERGEN CORP	03073E105	US03073E1055	USD	Services	Drugs Wholesale	2015-05-11	None	None	None	NYSE
ABCB	Ameris Bancorp	003076K10	US003076K102	USD	Financial	Regional - Mid-Atlantic Banks	2015-05-19	None	None	None	NASDAQ
ABCD	CAMBIUM LEARNING GROUP, INC.	13201A107	US13201A1079	USD	Technology	Internet Software & Services	2015-05-16	None	None	None	NASDAQ
ABCO	ADVISORY BOARD CO	00762W107	US00762W1071	USD	Technology	Information Technology Services	2015-05-13	None	None	None	NASDAQ
ABG	ASBURY AUTOMOTIVE GROUP INC	004343610	US0043436106	USD	Services	Auto Dealerships	2015-04-25	None	None	None	NYSE
ABM	ABM INDUSTRIES INC	000957100	US0009571003	USD	Services	Business Services	2015-06-04	None	None	None	NYSE
ABMC	AMERICAN BIO MEDICA CORP	024600108	US0246001087	USD	Services	Business Services	2015-05-18	None	None	None	OTCMKTS
ABMD	ABIOMED INC	000365410	US0003654102	USD	Healthcare	Medical Appliances & Equipment	2015-05-29	None	None	None	NASDAQ
ABR	ARBOR REALTY TRUST INC	038923108	US0389231087	USD	Financial	REIT - Diversified	2015-05-07	None	None	None	NYSE
ABS	ALBERTSONS INC	None	None	USD	Services	Grocery Stores	2015-06-03	None	None	None	DELISTED
ABT	ABBOTT LABORATORIES	002824100	US0028241000	USD	Healthcare	Medical Appliances & Equipment	2015-05-07	None	None	None	NYSE
ABTL	AUTOBYTEL INC	05275N205	US05275N2053	USD	Technology	Business Services	2015-05-09	None	None	None	NASDAQ
ABVT	ABOVENET INC	00374N107	US00374N1072	USD	Technology	Application Software	2015-01-27	None	None	None	DELISTED
ACAD	ACADIA PHARMACEUTICALS INC	000422510	US0004225100	USD	Healthcare	Biotechnology	2015-05-08	None	None	None	NASDAQ
ACAS	AMERICAN CAPITAL, LTD	02503Y103	US02503Y1038	USD	Financial	Asset Management	2015-05-15	None	None	None	NASDAQ
ACAT	ARCTIC CAT INC	003967010	US0039670106	USD	Consumer Goods	Recreational Vehicles	2015-06-02	None	None	None	NASDAQ
ACC	AMERICAN CAMPUS COMMUNITIES INC	024835100	US0248351001	USD	Financial	REIT - Residential	2015-05-11	None	None	None	NYSE
ACCL	ACCELRYS, INC.	00430U103	US00430U1034	USD	Technology	Application Software	2015-04-10	None	None	None	DELISTED
