Date,Open,High,Low,Close,Volume,Adj Close
2012-09-24,0.281,0.281,0.281,0.281,000,0.281
2012-09-21,0.281,0.281,0.281,0.281,000,0.281
2012-09-20,0.281,0.281,0.281,0.281,000,0.281
2012-09-19,0.281,0.281,0.281,0.281,000,0.281
2012-09-18,0.281,0.281,0.281,0.281,000,0.281
2012-09-17,0.281,0.281,0.281,0.281,000,0.281
2012-09-14,0.281,0.281,0.281,0.281,000,0.281
2012-09-13,0.281,0.281,0.281,0.281,000,0.281
2012-09-12,0.281,0.281,0.281,0.281,000,0.281
2012-09-11,0.281,0.281,0.281,0.281,000,0.281
2012-09-10,0.281,0.281,0.281,0.281,000,0.281
2012-09-07,0.281,0.281,0.281,0.281,000,0.281
2012-09-06,0.281,0.281,0.281,0.281,000,0.281
2012-09-05,0.281,0.281,0.281,0.281,000,0.281
2012-09-04,0.281,0.281,0.281,0.281,000,0.281
2012-09-03,0.281,0.281,0.281,0.281,000,0.281
2012-08-31,0.281,0.281,0.281,0.281,000,0.281
2012-08-30,0.281,0.281,0.281,0.281,000,0.281
2012-08-29,0.281,0.281,0.281,0.281,000,0.281
2012-08-28,0.281,0.281,0.281,0.281,000,0.281
2012-08-27,0.281,0.281,0.281,0.281,000,0.281
2012-08-24,0.281,0.281,0.281,0.281,000,0.281
2012-08-23,0.281,0.281,0.281,0.281,000,0.281
2012-08-22,0.281,0.281,0.281,0.281,000,0.281
2012-08-21,0.281,0.281,0.281,0.281,000,0.281
2012-08-20,0.281,0.281,0.281,0.281,000,0.281
2012-08-17,0.281,0.281,0.281,0.281,000,0.281
2012-08-16,0.281,0.281,0.281,0.281,000,0.281
2012-08-15,0.281,0.281,0.281,0.281,000,0.281
2012-08-14,0.281,0.281,0.281,0.281,000,0.281
2012-08-13,0.281,0.281,0.281,0.281,000,0.281
2012-08-10,0.281,0.281,0.281,0.281,000,0.281
2012-08-09,0.281,0.281,0.281,0.281,000,0.281
2012-08-08,0.281,0.281,0.281,0.281,000,0.281
2012-08-07,0.281,0.281,0.281,0.281,000,0.281
2012-08-06,0.281,0.281,0.281,0.281,000,0.281
2012-08-03,0.281,0.281,0.281,0.281,000,0.281
2012-08-02,0.281,0.281,0.281,0.281,000,0.281
2012-08-01,0.281,0.281,0.281,0.281,000,0.281
2012-07-31,0.281,0.281,0.281,0.281,000,0.281
2012-07-30,0.281,0.281,0.281,0.281,000,0.281
2012-07-27,0.281,0.281,0.281,0.281,000,0.281
2012-07-26,0.281,0.281,0.281,0.281,000,0.281
